Category:,Congress,Bill Type,Bill Number,Vote Position
passage,108,hconres,95.0,Nay
passage-suspension,108,hr,1596.0,Yea
passage-suspension,108,hres,106.0,Yea
passage,108,hr,13.0,Yea
passage-suspension,108,hconres,53.0,Yea
passage-suspension,108,hr,346.0,Yea
passage,108,hjres,73.0,Not Voting
passage-suspension,108,hjres,19.0,Yea
passage,108,hres,309.0,Nay
passage,108,hr,2691.0,Not Voting
passage,108,hr,2115.0,Not Voting
passage-suspension,108,hres,10.0,Yea
passage,108,hres,407.0,Not Voting
passage,108,hjres,27.0,Yea
passage-suspension,108,hconres,274.0,Yea
passage-suspension,108,hr,866.0,Yea
passage,108,hr,3108.0,Yea
passage-suspension,108,hconres,54.0,Yea
passage,108,hconres,104.0,Yea
passage,108,hr,766.0,Yea
passage-suspension,108,hres,132.0,Yea
passage-suspension,108,hr,1018.0,Not Voting
passage-suspension,108,hr,699.0,Yea
passage-suspension,108,hconres,147.0,Not Voting
passage-suspension,108,hres,352.0,Yea
passage-suspension,108,hr,788.0,Yea
passage-suspension,108,hr,1625.0,Yea
passage-suspension,108,hr,1516.0,Yea
passage-suspension,108,hr,3140.0,Yea
passage-suspension,108,hres,423.0,Yea
passage-suspension,108,hres,159.0,Yea
passage-suspension,108,hr,1465.0,Yea
passage,108,hr,760.0,Nay
passage-suspension,108,sjres,18.0,Yea
passage,108,hr,1588.0,Yea
passage,108,hres,270.0,Nay
passage,108,hr,2799.0,Yea
passage-suspension,108,hres,171.0,Yea
passage-suspension,108,hres,195.0,Yea
passage-suspension,108,hr,1257.0,Yea
passage-suspension,108,hres,393.0,Yea
passage,108,hconres,191.0,Nay
passage,108,hres,450.0,Yea
passage,108,s,23.0,Yea
passage-suspension,108,hr,658.0,Yea
passage,108,hr,1115.0,Yea
passage-suspension,108,sjres,22.0,Yea
passage-suspension,108,hr,3300.0,Yea
passage-suspension,108,hr,2350.0,Yea
passage,108,hjres,76.0,Yea
passage-suspension,108,hconres,110.0,Yea
passage-suspension,108,hconres,176.0,Yea
passage-suspension,108,hconres,162.0,Yea
passage-suspension,108,hr,1006.0,Yea
passage-suspension,108,hr,2622.0,Yea
passage-suspension,108,hr,1170.0,Yea
passage-suspension,108,s,1156.0,Yea
passage-suspension,108,hr,1911.0,Yea
passage,108,hres,459.0,Nay
passage,108,hr,2622.0,Yea
passage,108,hr,1904.0,Nay
passage-suspension,108,s,763.0,Yea
passage,108,hr,1.0,Nay
passage-suspension,108,hres,231.0,Yea
passage-suspension,108,hr,1274.0,Yea
passage-suspension,108,hconres,212.0,Yea
passage-suspension,108,hres,252.0,Yea
passage-suspension,108,s,763.0,Yea
passage-suspension,108,hconres,320.0,Yea
passage-suspension,108,hconres,94.0,Yea
passage-suspension,108,hr,1320.0,Yea
passage,108,hjres,4.0,Nay
passage-suspension,108,hr,1533.0,Yea
passage,108,hr,2765.0,Nay
passage-suspension,108,hres,453.0,Yea
passage,108,hr,1000.0,Nay
passage-suspension,108,hres,19.0,Yea
passage-suspension,108,hres,357.0,Yea
passage,108,hr,3161.0,Yea
passage-suspension,108,hconres,85.0,Yea
passage-suspension,108,hconres,109.0,Yea
passage,108,hr,2657.0,Yea
passage-suspension,108,hres,153.0,Yea
passage,108,hr,4.0,Nay
passage-suspension,108,s,858.0,Yea
passage-suspension,108,hconres,49.0,Yea
passage,108,s,151.0,Yea
passage-suspension,108,hr,1828.0,Yea
passage-suspension,108,hr,1584.0,Yea
passage,108,hres,418.0,Yea
passage-suspension,108,hr,1368.0,Yea
passage-suspension,108,hr,205.0,Yea
passage,108,hr,534.0,Nay
passage-suspension,108,hres,165.0,Yea
passage-suspension,108,hconres,118.0,Yea
passage-suspension,108,hconres,26.0,Yea
passage-suspension,108,hr,874.0,Yea
passage-suspension,108,hr,1412.0,Yea
passage-suspension,108,hres,122.0,Yea
passage,108,hjres,69.0,Yea
passage,108,hr,522.0,Yea
passage,108,hr,2559.0,Yea
passage-suspension,108,hres,179.0,Yea
passage,108,hres,422.0,Not Voting
passage-suspension,108,hconres,141.0,Yea
passage,108,hres,417.0,Yea
passage-suspension,108,hres,127.0,Yea
passage-suspension,108,hr,258.0,Yea
passage-suspension,108,hres,149.0,Yea
passage-suspension,108,hjres,49.0,Yea
passage,108,hres,198.0,Yea
passage-suspension,108,hr,2474.0,Yea
passage-suspension,108,hr,2489.0,Yea
passage-suspension,108,hr,3059.0,Yea
passage,108,hr,5212.0,Yea
passage,108,hres,828.0,Nay
passage-suspension,108,hr,2993.0,Yea
passage-suspension,108,hres,853.0,Not Voting
passage-suspension,108,hres,622.0,Yea
passage,108,hr,4567.0,Yea
passage-suspension,108,hres,475.0,Yea
passage-suspension,108,sconres,114.0,Yea
passage-suspension,108,hres,392.0,Yea
passage,108,hr,1350.0,Yea
passage-suspension,108,hr,4299.0,Yea
passage,108,sconres,95.0,Nay
passage-suspension,108,hr,5061.0,Yea
passage,108,hr,2751.0,Yea
passage-suspension,108,s,2057.0,Yea
passage,108,s,1920.0,Yea
passage-suspension,108,hconres,358.0,Yea
passage-suspension,108,hres,676.0,Yea
passage-suspension,108,hr,2707.0,Yea
passage-suspension,108,hconres,264.0,Yea
passage-suspension,108,hr,3942.0,Yea
passage-suspension,108,hconres,398.0,Yea
passage-suspension,108,hres,519.0,Yea
passage,108,hr,4520.0,Nay
passage-suspension,108,s,2264.0,Yea
passage-suspension,108,hres,577.0,Yea
passage-suspension,108,hjres,110.0,Yea
passage-suspension,108,hr,958.0,Yea
passage-suspension,108,s,1134.0,Yea
passage-suspension,108,hr,254.0,Yea
passage,108,hr,4279.0,Yea
passage,108,hres,846.0,Not Voting
passage-suspension,108,hconres,328.0,Yea
passage-suspension,108,hconres,352.0,Yea
passage-suspension,108,hr,2408.0,Yea
passage-suspension,108,hr,4176.0,Yea
passage,108,hr,2844.0,Yea
passage-suspension,108,hconres,359.0,Yea
passage-suspension,108,s,714.0,Yea
passage-suspension,108,hres,600.0,Yea
passage-suspension,108,hconres,287.0,Yea
passage,108,hr,4517.0,Nay
passage,108,hr,3313.0,Nay
passage,108,hr,4837.0,Yea
passage,108,hr,4503.0,Nay
passage-suspension,108,hr,4363.0,Yea
passage,108,hr,4613.0,Yea
passage-suspension,108,hconres,469.0,Yea
passage-suspension,108,hres,792.0,Yea
passage-suspension,108,hres,492.0,Yea
passage-suspension,108,hres,489.0,Yea
passage-suspension,108,s,1814.0,Yea
passage-suspension,108,hres,760.0,Yea
passage-suspension,108,hconres,417.0,Yea
passage,108,hres,766.0,Nay
passage-suspension,108,hres,658.0,Yea
passage,108,hr,4613.0,Yea
passage-suspension,108,hconres,13.0,Yea
passage-suspension,108,hres,591.0,Yea
passage-suspension,108,hconres,467.0,Yea
passage-suspension,108,hr,4545.0,Nay
passage-suspension,108,hr,4056.0,Yea
passage-suspension,108,hres,660.0,Yea
passage-suspension,108,hr,3369.0,Yea
passage-suspension,108,hres,567.0,Yea
passage-suspension,108,hres,667.0,Yea
passage-suspension,108,hr,4109.0,Yea
passage-suspension,108,hres,490.0,Yea
passage-suspension,108,hres,491.0,Yea
passage-suspension,108,sconres,76.0,Yea
passage,108,hconres,432.0,Nay
passage-suspension,108,hr,163.0,Nay
passage,108,hr,2028.0,Nay
passage,108,hres,664.0,Not Voting
passage-suspension,108,s,2634.0,Yea
passage-suspension,108,hres,723.0,Yea
passage-suspension,108,hr,4840.0,Yea
passage-suspension,108,hr,2929.0,Yea
passage-suspension,108,hr,1057.0,Yea
passage,108,hr,4571.0,Yea
passage,108,hr,2443.0,Yea
passage-suspension,108,hr,4608.0,Yea
passage-suspension,108,hconres,460.0,Yea
passage,108,hr,4568.0,Yea
passage-suspension,108,hr,4019.0,Yea
passage,108,hres,866.0,Not Voting
passage-suspension,108,hres,530.0,Yea
passage-suspension,108,hres,526.0,Yea
passage-suspension,108,hr,3147.0,Yea
passage-suspension,108,hconres,257.0,Yea
passage-suspension,108,hconres,403.0,Yea
passage,108,hr,1375.0,Yea
passage-suspension,108,hres,576.0,Yea
passage-suspension,108,hres,605.0,Yea
passage-suspension,108,hconres,15.0,Yea
passage-suspension,108,hres,599.0,Yea
passage-suspension,108,hres,551.0,Yea
passage,108,hr,2728.0,Yea
passage-suspension,108,hconres,420.0,Yea
passage-suspension,108,hr,3095.0,Yea
passage-suspension,108,hr,2584.0,Yea
passage,108,hr,2729.0,Nay
passage-suspension,108,hres,433.0,Yea
passage,108,hr,3550.0,Yea
passage-suspension,108,hconres,410.0,Yea
passage,108,hres,691.0,Yea
passage-suspension,108,hr,4030.0,Yea
passage-suspension,108,hr,3769.0,Yea
passage-suspension,108,hr,912.0,Yea
passage-suspension,108,hr,1779.0,Yea
passage-suspension,108,hr,5382.0,Not Voting
passage,108,hr,2730.0,Yea
passage-suspension,108,hr,3723.0,Yea
passage-suspension,108,hres,402.0,Yea
passage-suspension,108,hr,3733.0,Yea
passage,108,hconres,414.0,Yea
passage,108,hconres,393.0,Nay
passage-suspension,108,hr,3722.0,Nay
passage-suspension,108,hres,705.0,Yea
passage-suspension,108,hconres,380.0,Yea
passage-suspension,108,hconres,423.0,Yea
passage-suspension,108,hres,540.0,Yea
passage,108,hr,4759.0,Nay
passage-suspension,108,hconres,386.0,Yea
passage-suspension,108,hres,157.0,Yea
passage-suspension,108,hjres,84.0,Yea
passage,108,hres,707.0,Nay
passage,108,hres,581.0,Yea
passage-suspension,108,hres,399.0,Yea
passage-suspension,108,hr,3980.0,Yea
passage-suspension,108,s,1904.0,Yea
passage-suspension,108,hr,5186.0,Yea
passage-suspension,108,hr,3786.0,Yea
passage-suspension,108,hconres,364.0,Yea
passage-suspension,108,hconres,424.0,Yea
passage-suspension,108,hr,3926.0,Yea
passage-suspension,108,hr,3873.0,Yea
passage-suspension,108,hres,412.0,Yea
passage,108,hr,4755.0,Yea
passage-suspension,108,s,2302.0,Yea
passage-suspension,108,hr,1587.0,Yea
passage-suspension,108,hconres,373.0,Yea
passage-suspension,108,hconres,409.0,Yea
passage-suspension,108,hr,3783.0,Yea
passage-suspension,108,hr,4219.0,Yea
passage-suspension,108,hres,578.0,Yea
passage,108,hres,685.0,Yea
passage,108,hr,743.0,Yea
passage,108,hres,706.0,Nay
passage-suspension,108,hres,507.0,Yea
passage-suspension,108,hr,3104.0,Yea
passage-suspension,108,s,1881.0,Yea
passage,108,hr,4818.0,Yea
passage-suspension,108,hr,1417.0,Yea
passage-suspension,108,hr,1768.0,Yea
passage-suspension,108,hconres,326.0,Yea
passage,108,hr,3574.0,Yea
passage-suspension,108,hres,56.0,Yea
passage-suspension,108,hconres,189.0,Yea
passage-suspension,108,hconres,378.0,Yea
passage-suspension,108,hr,4661.0,Yea
passage-suspension,108,hres,522.0,Yea
passage-suspension,108,hr,3782.0,Yea
passage-suspension,108,hr,5213.0,Yea
passage-suspension,108,hres,608.0,Yea
passage,108,hr,4850.0,Yea
passage-suspension,108,sjres,28.0,Yea
passage-suspension,108,hr,1385.0,Yea
passage-suspension,108,hr,5149.0,Yea
passage-suspension,108,hconres,501.0,Yea
passage-suspension,108,hres,612.0,Yea
passage-suspension,108,hr,1084.0,Yea
passage,108,hres,663.0,Not Voting
passage,108,hr,5006.0,Yea
passage-suspension,108,hconres,436.0,Yea
passage,108,hr,4513.0,Nay
passage-suspension,108,hr,4053.0,Yea
passage,108,hres,674.0,Yea
passage,108,hr,4842.0,Yea
passage-suspension,108,hr,4381.0,Yea
passage-suspension,108,hres,655.0,Yea
passage-suspension,108,hconres,363.0,Yea
passage-suspension,108,hconres,295.0,Yea
passage-suspension,108,hr,1787.0,Yea
passage,108,hjres,83.0,Yea
passage-suspension,108,hr,3866.0,Yea
passage,108,hjres,106.0,Nay
passage-suspension,108,hr,4231.0,Yea
passage-suspension,108,hconres,413.0,Yea
passage-suspension,108,hr,3493.0,Yea
passage-suspension,108,hconres,449.0,Yea
passage,108,hr,4567.0,Yea
passage-suspension,108,hr,4556.0,Yea
passage-suspension,108,hres,652.0,Yea
passage-suspension,108,hconres,418.0,Yea
passage-suspension,108,hr,4635.0,Yea
passage-suspension,108,hr,4175.0,Yea
passage-suspension,108,hr,4879.0,Yea
passage-suspension,108,hjres,97.0,Yea
passage,108,hr,5107.0,Yea
passage-suspension,108,hres,653.0,Yea
passage,108,hres,738.0,Yea
passage,108,hres,757.0,Yea
passage-suspension,108,hres,728.0,Yea
passage-suspension,108,hr,4323.0,Yea
passage-suspension,108,hr,5011.0,Yea
passage,108,hr,5025.0,Yea
passage-suspension,108,hres,669.0,Yea
passage,108,hr,4850.0,Yea
passage,108,hr,2731.0,Nay
passage-suspension,108,hres,558.0,Yea
passage,108,hr,4766.0,Yea
passage-suspension,108,hres,615.0,Yea
passage,108,hr,4200.0,Yea
passage-suspension,108,hconres,462.0,Yea
passage,108,hres,645.0,Nay
passage,108,hr,4754.0,Yea
passage,108,hr,4281.0,Yea
passage,108,s,2845.0,Not Voting
passage-suspension,108,hr,1822.0,Yea
passage-suspension,108,hconres,528.0,Not Voting
passage-suspension,108,hr,1417.0,Yea
passage-suspension,108,hr,4037.0,Yea
passage,108,hr,3752.0,Yea
passage-suspension,108,hres,713.0,Present
passage-suspension,108,hjres,91.0,Yea
passage-suspension,108,hjres,87.0,Yea
passage,108,hr,4837.0,Yea
passage-suspension,108,hr,3740.0,Yea
passage,108,hr,339.0,Nay
passage,108,s,15.0,Yea
passage,108,hr,4227.0,Nay
passage,108,hr,2432.0,Yea
passage,108,hres,712.0,Yea
passage,108,hconres,518.0,Nay
passage,108,hr,4614.0,Yea
passage,108,hr,1561.0,Yea
passage-suspension,108,hr,3389.0,Yea
passage,108,hr,4818.0,Not Voting
